English,Turkish
shampoo,"['şampuan', 'baş yıkamak']"
shape,"['şekil', 'form']"
share,"['paylaştırmak', 'paylaşmak', 'pay']"
shark,['köpek balığı']
sharp,"['keskin', 'tam tamına', 'zeki']"
sharp shooter,['keskin nişancı']
shave,['tıraş']
sheep,"['koyun', 'koyunlar']"
sheet,"['çarşaf', 'ince tabaka']"
shelf,['raf']
shell,"['kabuk', 'bombalamak']"
shelter,['sığınmak']
shield,"['kalkan', 'kılıf']"
shift,"['değiştirme', 'vardiye']"
shine,"['parlamak', 'parlatmak']"
ship,"['gemi', 'gemiyle yollamak']"
shirt,['gömlek']
shock,"['şok', 'şok etmek']"
shoe,['ayakkabı']
shoelace,['ayakkabı bağı']
shoot,"['çekim', 'atış', 'tomurcuk']"
shoot down,"['imha etmek', 'hayır cevabı', 'olumsuz']"
shop,"['dükkan', 'alışveriş yapmak']"
shopping,['alışveriş']
shore,['kıyı']
short,"['kısa', 'aniden']"
short cut,['kestirme']
shortage,"['yokluk', 'kıtlık']"
shortly,"['az sonra', 'kısaca']"
shot,['atış']
shoulder,['omuz']
shout,['bağırmak']
show,"['göstermek', 'gösteri']"
shower,"['duş', 'duş almak', 'sağanak yağmur']"
shrink,"['çekmek', 'küçülmek']"
shut,"['kapatmak kapı', 'pencere']"
shut up,"['sus', 'kes sesini']"
shy,['utangaç']
sick,['hasta']
side,"['kenar', 'yan', 'taraflı']"
sıdeeffect,['yan etki']
sigh,['derin nefes almak']
sight,['görüş']
sign,"['işaret', 'imzalamak']"
signal,['sinyal']
signature,['imza']
significant,"['manalı', 'önemli']"
signpost,['işaret direği']
silence,"['sessizlik', 'susturmak']"
silent,"['sessiz', 'sakin']"
silk,['ipek']
silly,"['budala', 'aptal']"
silo,"['silo', 'depo']"
simplify,['basitleştirmek']
sin,['günah']
since,['şimdiye kadar']
sincere,"['içten', 'samimi', 'sahte olmayan']"
sing,['şarkı söylemek']
single,"['tek', 'bekar', 'tek kişilik']"
singular,"['acayip', 'tek', 'eşsiz']"
sink,"['batmak', 'evye']"
sir,['efendi']
siren,['siren']
sister,"['kız kardeş', 'hemşire', 'rahibe']"
sit,['oturmak']
situation,['durum']
size,['büyüklük']
skate,"['buz pateni', 'paten ayakkabısı']"
skateboard,['kay kay']
skeleton,['iskelet']
ski,"['kayak', 'kayak yapmak']"
skill,['yetenek']
skim,"['sıyırmak', 'sektirmek', 'kaymağını almak']"
skin,['deri']
skirt,['etek']
skull,['kafatası']
sky,['gökyüzü']
slang,['argo']
slave,['köle']
sleep,"['uyumak', 'uyku']"
sleepy,"['uykulu', 'sakin']"
sleeve,"['elbise kolu', 'bluz']"
sleeveless,['kolsuz elbise']
slice,"['dilim', 'dilimlemek']"
slide,"['kaydırak', 'kaydırmak']"
slight,"['önemsiz', 'küçük']"
slim,"['ince', 'zayıf']"
slip,"['yuvarlanmak', 'kayarak düşmek']"
slipper,['terlik']
slope,['eğim']
slot,"['yarık', 'yiv', 'yerleştirmek']"
slow,"['yavaş', 'yavaşlamak']"
small,"['küçük', 'ufak']"
smart,"['akıllı', 'açıkgöz', 'şık']"
smash,['çarpıp kırmak']
smell,"['koku', 'koklamak']"
smile,['gülümsemek']
smoke,"['tütün içmek', 'tütmek', 'duman']"
smooth,"['düzgün', 'yumuşak']"
smuggle,"['kaçakçılık', 'esrar']"
snack,"['küçük', 'atıştırmalık']"
snag,['prüz']
snail,['sümüklü böcek']
snake,['yılan']
sneeze,['hapşırmak']
sniff,['burnunu çekmek']
snore,['horlamak']
snow,['kar']
snub,"['küçümsemek', 'hakir görmek']"
so,"['öyleyse', 'bu yüzden']"
so far,['şimdiye kadar']
soak,['ıslatmak']
soap,['sabun']
soccer,['futbol']
social,['sosyal']
society,"['sosyete', 'çevre', 'toplum']"
sock,"['çorap', 'vurmak', 'kırmak']"
socket,"['soket', 'priz']"
sofa,"['divan', 'sofa']"
soft,['yumuşak']
soil,['toprak']
soldier,['asker']
solemn,"['ciddi', 'bayıltıcı']"
solid,"['katı', 'sert']"
solidarity,['dayanışma']
solve,['çözüm bulmak']
some,"['bazı', 'birkaç', 'yaklaşık']"
somebody,['birisi']
someone,['biri']
sometimes,['bazen']
somewhere,['bir yer']
son,"['erkek çocuk', 'oğul']"
song,['şarkı']
soon,['yakın zamanda']
sophisticated,"['incelikli', 'ukala', 'karışık']"
sore,['ağrı verici']
sorrow,['üzüntü']
sorry,['üzgün']
sort,['çeşit']
soul,['ruh']
sound,"['ses', 'mantıklı', 'toplam']"
soup,['çorba']
sour,['ekşi']
source,['kaynak']
south,['güney']
souvenir,['hatıra']
sow,['toprağa ekmek']
space,"['uzay', 'boşluk', 'yer']"
spade,"['maça sembollü iskambil kağıdı', 'kürek']"
span,"['değer aralığı', 'zaman', 'karış']"
spanner,['somun sıkma aleti']
adjustable spanner,['ingiliz anahtarı']
spare,"['ekstra', 'yedek', 'boş']"
speak,['konuşmak']
special,"['özel', 'en iyi']"
spectacular,['görülmeye değer']
spectator,['izleyici map']
speech,['konuşma']
speed,"['hız', 'hızlı gitmek']"
speedometer,['hızölçer']
spell,"['harfleri söylemek', 'büyülü sözcükler']"
spend,"['para harcamak', 'harcamak']"
spice,['baharat']
spider,['örümcek']
spill,"['dökmek', 'sıvı saçmak']"
spiral,['spiral']
spirit,"['ruh', 'ruhsal durum', 'ispirto']"
spit,['tükürmek']
spite,"['rağmen', 'birisine zarar verme isteği']"
splash,['sıçratma']
splendid,"['nefis', 'harika']"
split,['ikiye bölmek']
spoil,"['zarar vermek', 'şımartmak']"
spoon,['kaşık']
sport,['spor']
spot,"['küçük yuvarlak işaret', 'ciltteki ben', 'leke']"
spread,"['yayılmak', 'yaymak']"
spring,"['ilkbahar', 'yaylı', 'pınar']"
spy,['casus']
square,['kare']
squash,"['bir çeşit oyun', 'sıkışmak']"
squeeze,"['sıkışmak', 'sıkıştırmak', 'sıkmak']"
stabilize,"['dengeleme', 'saptama']"
stable,"['ahır', 'istikrarlı']"
stadium,['stadyum']
staff,"['eleman', 'memur']"
stage,"['evre safra', 'sahne']"
stain,['lekelemek']
stair,['merdiven']
stall,"['küçük dükkan', 'tezgah', 'vakit kazanma']"
stamp,"['pul', 'damga', 'damgalamak']"
stand,"['ayakta durmak', 'bulunmak']"
stand in,['dublörlük yapmak']
standard,['standart']
stapler,['zımba tel']
star,['yıldız']
stare,['uzun süre bakmak']
start,"['başlamak', 'başlangıç']"
state,"['devlet', 'durum']"
station,"['istasyon', 'durak']"
stationery,['kırtasiye']
statue,['heykel']
stay,['kalmak']
steady,['sabit']
steak,['bonfile']
steal,['çalmak']
steam,['buhar']
steel,"['çelik', 'büyük güç']"
steep,"['hızlı yükselme veya düşme', 'geniş açı', 'çok fazla']"
steer,"['öküz', 'yönlendirmek', 'sürmek']"
step,"['adım', 'adım atmak', 'üvey']"
step child,['üvey çocuk']
sterile,"['kısırlaştırma operasyonu', 'bakteri']"
sterilize,"['kısırlaştırma', 'mikroplardan arıtma']"
stethoscope,"['göğüs dinleme cihazı', 'steteskop']"
steward,"['erkek hostes', 'kahya çiflik']"
stick,"['sopa', 'baston']"
stiff,"['kolay bükülmeyen', 'sert']"
still,"['hareketsiz', 'sakin', 'hala']"
stir,"['karıştırmak', 'hareket ettirmek']"
stock,"['stok', 'stok yapmak', 'hisse senedi']"
stock certificate,['hisse senedi']
stocking,['kadın çorabı']
stomach,['mide']
stone,"['taş', 'meyve çekirdeği']"
stool,['tabure']
stop,"['durmak', 'durak', 'engel']"
store,"['dükkan', 'depolamak']"
storm,['firtina']
story,"['öykü', 'hikaye']"
stove,['soba']
straight,"['düzgün', 'en kısa yoldan']"
strain,"['gerginlik', 'zorlanmak', 'germe']"
strainer,['süzgeç']
strange,"['garip', 'tuhaf']"
strap,"['tutacak', 'aski elbise', 'ayakkabi']"
straw,"['saman', 'kamış bardak için', 'hasır']"
strawberry,['çilek']
stream,['ırmak']
street,['cadde']
strength,"['güç', 'kuvvet']"
stress,"['betimlemek', 'stres']"
stretch,"['germek', 'bir kerede']"
stretcher,['sedye']
strict,['katı kurallar']
strike,"['grev yapmak', 'grev', 'vurmak']"
string,"['ip', 'tel']"
strip,"['soymak', 'soyunmak']"
stripe,"['şerit', 'çizgi']"
stroke,"['çarpış', 'felç', 'okşamak']"
strong,['güçlü']
structure,['yapi']
struggle,"['kavga etmek', 'çaba']"
student,['öğrenci']
studio,['sütüdyo']
study,"['çalışmak', 'okumak', 'incelemek']"
stuff,"['cisim', 'şey', 'tıkıştırmak']"
stupid,['aptal']
stutter,"['kekelemek', 'kekeme']"
style,['sitil']
subject,"['konu', 'özne']"
submarine,['denizaltı']
submit,"['boyun eğme', 'sunmak', 'teslim etmek']"
subscribe,"['abonelik', 'sürekli para yardimi']"
subsidize,['yardım etme']
subsidy,"['yardım', 'devlet yardımı']"
substance,"['madde', 'cevher']"
substitute,"['vekil tayin etme', 'yerine geçme']"
subtract,['çıkarma işlemi']
suburb,['banliyö']
subway,"['alt geçit', 'alt yol']"
succeed,"['başarmak', 'yerini almak']"
success,['başarı']
succession,"['ardarda', 'devamlı']"
such,"['bunun gibi', 'bu kadar']"
suck,['emmek']
sudden,['ani']
suffer,['acı çekmek']
sufficient,['yeterince']
sugar,['şeker']
suggest,['önermek']
suggestion,['öneri']
suicide,['intihar']
suit,"['yakışmak', 'uygun gelmek', 'takım elbise']"
suitcase,['bavul']
sum,['toplam']
summary,['özet']
summer,['yaz']
summit,['zirve']
sun,['güneş']
sunday,['pazar günü ']
sunset,['güneşin batışı']
sunshine,['güneş ışığı']
suntan,['bronz cilt rengi']
super,['süper']
superb,"['harika', 'çok güzel']"
superior,"['daha iyi', 'önemli', 'akıllı']"
superstition,['batıl inanç']
supervise,"['denetleme', 'gözlem']"
supper,['günün son yemeği']
supplies,"['erzak', 'mal']"
supply,"['sağlamak', 'miktar']"
support,"['yardım', 'destek', 'desteklemek']"
suppose,['sanmak']
suppress,"['baskılama', 'sindirme', 'yayınlanmasını önleme']"
supreme,"['yüce', 'üstün']"
sure,"['emin', 'kesin']"
surface,['yüzey']
surgeon,['cerrah']
surgery,['ameliyat']
surname,['soyadı']
surprise,"['şaşırtmak', 'sürpriz']"
surrender,['teslim olmak']
surround,['çevrelemek']
suspect,['şüphelenmek']
suspend,"['askıya almak', 'durdurmak']"
suspension,['asma']
suspicion,['şüphe']
swallow,"['yutmak', 'kırlangıç']"
swan,['kuğu']
swear,"['yemin etmek', 'küfretmek']"
sweat,"['ter', 'terlemek']"
sweater,['süveter']
sweep,['süpürmek']
sweet,['tatlı']
swell,"['şişmek', 'kalınlaşmak']"
swim,['yüzmek']
swing,"['sallanmak', 'güçlü ritim']"
switch,['açma kapama düğmesi']
swollen,['şişmiş']
sword,['kılıç']
symbol,['sembol']
syrup,['şurup']
system,['sistem']
t raffic,['trafik']
table,"['masa', 'tablo', 'liste']"
tablet,['tablet']
taboo,"['ayıp', 'argo', 'tabu']"
tail,"['kuyruk kedi', 'uçak']"
tailor,['terzi']
take,"['tutmak', 'almak', 'uçağın kalkması']"
talent,"['kabiliyet üstün', 'seksi kadın']"
talk,"['konuşma', 'konuşmak']"
talkative,['konuşkan']
tall,['uzun']
tame,"['evcil', 'evcilleştirmek']"
tan,['ten rengi']
tangerine,['mandalina']
tank,['tank']
tap,"['musluk', 'tıklatmak']"
tape,['bant']
tapemeasure,['mezura']
target,['hedef']
tariff,"['tarife', 'fiyat listesi']"
tart,"['pasta', 'asit tadı', 'sokak kadını']"
task,['görev']
taste,"['tatmak', 'tat']"
tax,['vergi']
taxi,['taksi']
tea,['çay']
teach,['öğretmek']
teacher,['öğretmen']
team,"['takım', 'grup']"
tear,"['gözyaşı', 'yırtık', 'koparmak']"
tease,"['kızdırma', 'yüz verip sonra sırt çevirme']"
technique,['teknik']
teenager,['13-19 yaş arası']
telegram,['telgraf']
telephone,['telefon']
telescope,['teleskop']
television,['televizyon']
tell,"['anlatmak', 'söylemek']"
temper,"['ruhsal durum', 'kızgın']"
temperature,['sıcaklık']
temple,['tapınak']
temporary,['geçici']
tempt,"['cezbetmek', 'şeytana uydurmak']"
tenant,['kiracı']
tend,['meyilli olmak']
tender,"['yumuşak', 'teklif', 'hassas']"
tent,"['tente', 'çadır']"
term,"['zaman dilimi', 'sözcükler', 'sömestr']"
terminal,['terminal']
terrace,['bitişik evler']
terrible,"['korkunç', 'kötü']"
terrific,"['kocaman', 'çok güzel']"
terrify,['korkutmak']
territory,['toprak parçası']
terror,"['büyük korku', 'terör']"
test,"['sınamak', 'denemek', 'test']"
than,['den dan eki']
thank,['teşekkür etmek']
that,['o']
theatre,['tiyatro']
their,['onların']
them,['onları']
theme,"['tema', 'konu']"
then,"['öyleyse', 'o zamanda', 'daha sonra']"
theory,['teori']
there,"['orada', 'var olmak']"
therefore,['dolayısıyla']
thermometer,['termometre']
these,['bunlar']
they,['onlar']
thick,"['kalın', 'sık']"
thief,['hırsız']
thin,['ince']
thing,['şey']
think,['düşünmek']
third,['üçüncü']
thirsty,"['susamışlık', 'susatan']"
thirteenth,['onüçüncü']
thirtieth,['otuzuncu']
this,['bu']
thorough,"['tümüyle', 'dikkatli']"
thoroughly,"['tamamıyla', 'bütün ince detaylarıyla']"
those,['onlar']
though,['nedense']
thought,['düşünce']
thoughtful,"['düşünceli', 'diğerlerini düşünen']"
thoughtless,['düşüncesiz']
thread,"['ip', 'ipi iğneye takmak']"
threat,['tehtid']
threaten,['tehdit etmek']
throat,"['gırtlak', 'yemek borusu']"
through,"['içinden', 'baştan sona']"
throw,['fırlatmak']
thumb,"['el', 'baş parmağı']"
thunder,['gök gürültüsü']
thunderstorm,['fırtına']
thursday,['perşembe']
thus,"['böyle', 'böylece']"
tick,"['saat sesi', 'okey işareti']"
ticket,['bilet']
tide,['gelgit olayı']
tidy,"['düzenli', 'derli toplu']"
tie,"['bağ', 'bağlamak', 'berabere']"
tiger,['kaplan']
tight,"['sıkı', 'kolay açılmaz']"
till,"['kadar', 'yazar kasa']"
time,"['zaman', 'kere', 'zamanlamak']"
tin,"['teneke', 'konserve']"
tiny,['çok küçük']
tip,"['bahşiş', 'öneri', 'uç kısım']"
tire,['yormak']
tired,['yorgun']
tissue,['kağıt mendil']
title,"['başlık', 'unvan']"
toast,"['tost', 'tost yapmak', 'kadeh kaldırmak']"
tobacco,['tütün']
today,['bugün']
toe,['ayak baş parmağı']
together,['birlikte']
toilet,['tuvalet']
token,"['işaret', 'jeton']"
tomato,['domates']
tomorrow,['yarın']
ton,['ton ağırlık']
tone,"['ses tonu', 'ışık ']"
tongue,['dil']
tonight,['bu gece']
too,"['çok', '...de ...da eki']"
tool,['alet']
tooth,['diş']
tooth pick,['kürdan']
top,"['en iyi', 'üst', 'kapak']"
topic,['konu']
torch,"['meşale', 'el feneri']"
torpedo,['torpil']
tortoise,['kaplumbağa']
torture,"['işkence', 'işkence etmek']"
total,['toplam']
totally,['bütünüyle']
touch,['dokunmak']
tough,"['zor', 'güç', 'sert']"
tour,['tur']
tournament,['turnuva']
towards,['varmadan evvel']
towel,['havlu']
tower,['kule']
town,['kasaba']
toy,['oyuncak']
trace,"['iz', 'iz sürmek']"
track,"['iz sürmek', 'takip etmek']"
trade,"['ticaret', 'iş']"
tradition,['gelenek']
tragedy,['trajedi']
train,"['eğitmek', 'staj yapmak', 'tren']"
training,"['eğitim', 'öğretim']"
transfer,['transfer']
transform,['şekillendirmek']
translate,"['çeviri', 'tercüme']"
transparent,['saydam']
transport,['taşımacılık']
trap,"['tuzak', 'kapan', 'yakalamak']"
travel,['yolculuk']
tray,['tepsi']
treasure,['hazine']
treat,"['davranmak', 'tedavi etmek', 'ikram']"
treatment,"['davranış', 'tedavi']"
tree,['ağaç']
tremendous,"['çok büyük', 'harika']"
trial,"['deneme', 'teşebbüs', 'duruşma']"
trialbalance,['mizan']
tribe,['kabile']
trick,"['hile', 'hile yapmak', 'oyun kağıt oyunları']"
trigger,['tetik']
trip,"['gezi', 'çelme takmak']"
tripod,['tripod']
triumph,"['zafer', 'utku']"
troop,"['insan veya hayva grubu', 'sürü']"
troops,['askerler']
trouble,"['dert', 'dert etmek']"
trousers,['pantolon']
truck,['kamyon']
true,"['doğru', 'gerçek']"
trunk,"['ağaç gövdesi', 'sandık', 'fil hortumu']"
trust,['güvenmek']
truth,['gerçek']
try,"['denemek', 'deneme']"
tu rban,['türban']
turnkey,['anahtar teslim proje']
tube,['tüp']
tuesday,['salı']
tuition,"['öğretim', 'özel ders']"
tulip,"['lale', 'lale fidanı']"
tummy,['mide']
tune,"['akord etmek', 'ayarlamak', 'ezgi']"
tunnel,['tünel']
turkey,['hindi']
turn,"['dönmek', 'dönüş']"
ıt's your turn,['sıra sende']
turnover,['ciro']
twice,['iki kez']
twist,"['kuvvetlice çevirmek', 'kıvırmak', 'burkulmak']"
type,"['çeşit', 'tip', 'daktiloyla yazmak']"
typical,['tipik']
typist,['daktiloda yazı yazan kimse']
tyre,['lastik']
ufo,['tanımlanamayan uçan cisim']
ugly,['çirkin']
umbrella,['şemsiye']
unable,['muktedir olmamak']
uncle,"['dayı', 'amca']"
unconscious,['bilinçsizlik']
under,"['altta', 'alta']"
underclothes,['iç çamaşırı']
undergo,"['katlanmak', 'çekmek', 'bir olayın olması']"
underline,['yazının altını çizmek']
understand,['anlamak']
unemployme nt,['işsizlik']
unfair,['adil olmayan']
unfavourable,['hoşa gitmeyen']
unhappy,['mutsuz']
unhealthy,['sağlıksız']
uniform,"['üniforma', 'tek tip']"
union,"['sendika', 'birleşme']"
unit,"['birim', '1-9 arasındaki sayılar']"
unite,['birleşmek']
university,['üniversite']
unknown,['bilinmeyen']
unless,['olmadıkça']
unlikely,['az ihtimalle']
unload,['boşaltmak']
unlock,['kilidi açmak']
until,['belli bir zamana kadar']
up,"['yukarı', 'dikine', 'tümüyle']"
up to you,['nasıl istersen']
upon,['üstünde']
upper,['üst']
upset,"['endişelendirmek', 'devirmek']"
upsidedown,"['tepe taklak', 'ters dönmek']"
upstairs,"['üst kat', 'yukarısı']"
up-to-date,['bugüne kadar']
upward,['yukarıya doğru']
urban,"['şehirsel', 'kente ait']"
urge,"['dürtme', 'zorla yaptırma']"
urgent,['acil']
us,['bize']
use,"['kullanım', 'fonksiyon']"
useful,['kullanışlı']
usual,['olağan']
v.i.p.,['çok önemli kişi']
vacant,"['boş', 'açık', 'sahipsiz']"
vacation,['tatil']
vacuum cleaner,['elektrik süpürgesi']
vain,"['gereksiz', 'boşuna']"
valley,['vadi']
valuable,['değerli']
value,['değer']
van,['minibüs']
vanilla,['vanilya']
vaporize,['buharlaşmak']
variety,"['fark', 'çeşitlilik', 'çeşit']"
various,"['değişik', 'çeşitli']"
vase,['vazo']
vegetable,['sebze']
vehicle,"['yük taşıyan araç', 'tır', 'araba ']"
veil,['duvak']
vein,['damar']
velvet,['kadife']
venture,"['macera', 'risk']"
verb,['fiil']
verdict,['hüküm']
vertical,['dikey']
very,"['çok', 'tam']"
vest,"['atlet', 'fanila']"
vet,['veteriner']
veto,"['veto', 'veto etmek']"
via,"['geçerek', 'oradan']"
viable,['geçerli']
vice,"['yardımcı', 'liderin yardımcısı', 'mengene']"
vicious circle,['kısır döngü']
victim,"['kurban', 'kazazede']"
victimize,['kurban etmek']
victor,['galip']
victory,"['utku', 'zafer', 'yengi']"
view,"['görünüm', 'manzara']"
villa,['villa']
village,['köy']
vine,['bağ']
vinegar,['sirke']
violent,"['kaba kuvvet', 'şiddet']"
violin,['keman']
visa,['vize']
visible,['görünen']
vision,"['görüş', 'imge']"
visit,['ziyaret etmek']
visitor,"['ziyaretçi', 'konuk']"
vital,['çok önemli']
vocabulary,['kelime dağarcığı']
voice,['ses']
volcano,"['volkan', 'yanardağ']"
volleyball,['voleybol']
volume,['hacim']
voluntary,['gönüllü']
vomit,['kusmak']
vote,"['oy vermek', 'oy']"
vowel,['ünlü harf']
voyage,['deniz yolculuğu']
vulgar,"['kaba', 'ilkel']"
vulnerable,"['zayıf', 'korumasız']"
vulture,"['akbaba', 'haris kimse']"
wage,['saat ücreti']
wager,['iddiaya girmek']
wagon,"['yük vagonu', 'at arabası']"
waist,['bel']
waistcoat,['yelek']
wait,['beklemek']
waiter,['garson']
wake,"['uyanmak', 'uyandırmak']"
walk,"['yürümek', 'yürüyüş']"
wall,['duvar']
wallet,['cüzdan']
walnut,['ceviz']
wander,['dolaşmak']
want,"['istemek', 'istek']"
war,['savaş']
warder,"['bekçi', 'muhafız', 'gardiyan']"
wardrobe,"['gardrop', 'büyük dolap']"
ware,['eşya']
warehouse,['depo']
warm,"['ılık', 'ılındırmak', 'sevecen']"
warn,['uyarmak']
warrant,['garanti']
wash,"['yıkamak', 'kirli çamaşır']"
wasp,['sarı arı']
waste,"['artık', 'gereksinim duyulmayan', 'boşa harcamak']"
watch,"['seyretmek', 'kol saati']"
water,"['su', 'sulamak']"
water- colours,['sulu boya']
water proof,['su geçirmeyen']
waterfall,['şelale']
wave,"['dalga deniz', 'dalgalanma', 'el sallamak']"
way,"['yol', 'rota', 'yön']"
we,['biz']
weak,"['zayıf', 'erksiz']"
wealth,['servet']
weapon,['silah']
wear,['giymek']
weather,"['hava', 'iklim']"
wednesday,['çarşamba']
week,['hafta']
weigh,"['ağarlık', 'tartmak']"
welcome,"['ağırlamak', 'hoş geldin']"
well,"['iyi', 'kuyu']"
well-known,"['ünlü', 'bilinen']"
west,['batı']
wet,['nemli']
whale,['balina']
what,['ne']
what if,['ne olurdu']
whatever,['herneyse']
what's its,['bilmem kim']
what's more,"['bunun yanısıra', 'üstelik']"
what's what,['işin önemini bilmek']
wheel,"['tekerlek', 'çark', 'tekerlekli bir şeyi itmek']"
when,['ne zaman']
whenever,"['herhangi bir zaman', 'ne zaman ki ...']"
where,"['nereye', 'nerede']"
while,['bu arada']
whim,['kapris']
whip,['kırbaç']
whisper,"['fısıldamak', 'fısıldaşmak']"
whistle,"['ıslık', 'ıslık çalmak', 'düdük']"
white,"['beyaz', 'ak', 'beyaz tenli']"
who,['kim']
whoever,['herkimse']
whole,"['tüm', 'bütün']"
wholesales,['toptan satış']
whose,['kimin']
why,"['neden', 'niçin']"
wide,"['geniş', 'kenardan kenara']"
widow,['dul']
wife,['karı']
wig,['peruk']
wild,['vahşi']
will,"['irade', 'istek', 'gelecek zaman eki']"
win,['kazanmak']
wind,"['sarmak', 'kurmak saat ']"
wind screen,['araba ön camı']
window,['pencere']
windpipe,['nefes borusu']
windscreen wiper,['silecek']
wine,['şarap']
wing,['kanat kuş']
winter,['kış']
wipe,"['silmek', 'kurulamak havluyla ']"
wire,"['tel', 'telgraf']"
wireless,['telsiz']
wisdom,['akıl']
wise,"['zeki', 'akıllı']"
wish,"['istek', 'istemek']"
witch,['cadı']
with,['ile']
withdraw,"['çekmek', 'geri çekilmek', 'sızmak']"
within,['içinde']
without,"['sahip olmayarak', 'yanında olmadan']"
witness,"['tanık', 'tanıklık etmek']"
wolf,['kurt']
woman,['kadın']
wonder,"['merak etmek', 'şaşırmak']"
wonderful,"['şaşırtıcı', 'harika']"
wood,['odun']
wool,['yün']
word,"['sözcük', 'kelime']"
work,"['çalışmak', 'iş']"
worker,['işçi']
world,['dünya']
worm,['solucan']
worry,['endişelenmek']
worse,['daha kötü']
worship,"['tapmak', 'hayranlık', 'saygı']"
worst,['en kötü']
worth,"['değerinde olmak', 'değerde']"
wound,"['yaralamak', 'yara']"
wrap,"['paketlemek', 'sarmak']"
wreck,"['enkaz', 'kaza', 'mahvetmek']"
wrist,['bilek']
write,['yazmak']
wrong,['yanlış']
x-ray,"['röntgen ışını', 'x ışını']"
yacht,['yat deniz taşıtı ']
yard,['avlu']
year,['yıl']
yellow,['sarı']
yes,['evet']
yesterday,['dün']
yet,"['hala', 'şimdiye kadar', 'henüz']"
yield,"['ürün vermek', 'dışarı vermek', 'teslim olmak']"
yoghurt,['yoğurt']
yolk,['yumurtanın sarısı']
young,['genç']
your,"['senin', 'sizin']"
youth,['gençlik']
zero,['sıfır']
zip,['fermuar']
zone,['bölge']
zoom,['yaklaştırmak']
